Unnamed: 0,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
4150500,172.31.0.2-172.31.66.75-53-51217-17,172.31.66.75,51217,172.31.0.2,53,17,20/02/2018 03:49:40,1472,1,1,40.0,139.0,40.0,40.0,40.0,0.0,139.0,139.0,139.0,0.0,121603.26086956522,1358.695652173913,1472.0,0.0,1472.0,1472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,679.3478260869565,679.3478260869565,40.0,139.0,73.0,57.15767664977295,3267.0,0,0,0,0,0,0,0,0,1.0,109.5,40.0,139.0,0,0,0,0,0,0,1,40,1,139,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
5392007,172.31.0.2-172.31.68.23-53-63406-17,172.31.68.23,63406,172.31.0.2,53,17,20/02/2018 02:42:09,2680,1,1,42.0,142.0,42.0,42.0,42.0,0.0,142.0,142.0,142.0,0.0,68656.71641791044,746.2686567164179,2680.0,0.0,2680.0,2680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,373.1343283582089,373.1343283582089,42.0,142.0,75.33333333333334,57.735026918962575,3333.333333333333,0,0,0,0,0,0,0,0,1.0,113.0,42.0,142.0,0,0,0,0,0,0,1,42,1,142,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
5131917,172.31.67.91-74.125.29.156-50056-443-6,172.31.67.91,50056,74.125.29.156,443,6,20/02/2018 08:55:45,333,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.45918441321721,0.0,0.0,0.0,0.0,231231.2312312312,9009.009009009009,166.5,211.42492757477768,316.0,17.0,333.0,166.5,211.42492757477768,316.0,17.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,60,0,9009.009009009009,0.0,0.0,46.0,30.75,21.68524844220144,470.25,0,1,0,0,1,0,0,0,0.0,41.0,25.66666666666667,0.0,0,0,0,0,0,0,3,77,0,0,258,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
513616,172.31.69.28-18.219.9.1-80-57274-6,18.219.9.1,57274,172.31.69.28,80,6,21/02/2018 11:55:44 PM,3689,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.1523448088913,3689.0,0.0,3689.0,3689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,271.07617240444563,271.07617240444563,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
838044,172.31.69.25-18.219.193.20-80-44560-6,18.219.193.20,44560,172.31.69.25,80,6,16/02/2018 11:20:43 PM,136,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14705.882352941177,136.0,0.0,136.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,7352.941176470588,7352.941176470588,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,225,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
2819273,172.31.65.121-36.72.145.241-445-55263-6,36.72.145.241,55263,172.31.65.121,445,6,20/02/2018 10:30:17,1053531,5,5,286.0,170.0,103.0,0.0,57.2,52.48523601928451,131.0,0.0,34.0,56.79348554191757,432.8301682627279,9.491889654884384,117059.0,131064.57245667116,292189.0,29.0,1053459.0,263364.75,185200.94144176663,426943.0,51.0,1053502.0,263375.5,171437.3369397693,406395.0,16011.0,0,0,0,0,112,112,4.745944827442191,4.745944827442191,0.0,131.0,41.45454545454545,52.11211689494802,2715.672727272728,0,0,0,1,0,0,0,0,1.0,45.6,57.2,34.0,0,0,0,0,0,0,5,286,5,170,8192,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
3707400,172.31.0.2-172.31.66.29-53-64798-17,172.31.66.29,64798,172.31.0.2,53,17,20/02/2018 01:16:01,1292,1,1,35.0,65.0,35.0,35.0,35.0,0.0,65.0,65.0,65.0,0.0,77399.38080495356,1547.9876160990711,1292.0,0.0,1292.0,1292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,773.9938080495357,773.9938080495357,35.0,65.0,45.0,17.320508075688775,300.0,0,0,0,0,0,0,0,0,1.0,67.5,35.0,65.0,0,0,0,0,0,0,1,35,1,65,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
2677496,172.31.64.92-204.236.219.209-52293-443-6,204.236.219.209,443,172.31.64.92,52293,6,20/02/2018 02:06:56,887,3,1,82.0,0.0,51.0,0.0,27.333333333333336,25.69695182961071,0.0,0.0,0.0,0.0,92446.44870349493,4509.582863585119,295.66666666666663,498.3175025356157,871.0,0.0,887.0,443.5,627.2037149124676,887.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,60,20,3382.187147688838,1127.3957158962794,0.0,51.0,26.6,25.61835279638408,656.3,0,1,0,0,1,0,0,0,0.0,33.25,27.33333333333333,0.0,0,0,0,0,0,0,3,82,1,0,110,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
7616203,172.31.65.70-189.47.168.151-445-58654-6,189.47.168.151,58654,172.31.65.70,445,6,20/02/2018 10:51:15,187545,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.328214561838493,62515.0,107613.68714526977,186776.0,55.0,187545.0,93772.5,131604.59279409668,186831.0,714.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,15.99616092137887,5.332053640459623,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
1303686,172.31.69.25-18.219.193.20-80-36814-6,18.219.193.20,36814,172.31.69.25,80,6,16/02/2018 11:24:12 PM,19015,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.1801209571391,19015.0,0.0,19015.0,19015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,52.59006047856955,52.59006047856955,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,225,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
4967899,172.31.0.2-172.31.67.61-53-52054-17,172.31.67.61,52054,172.31.0.2,53,17,20/02/2018 10:54:17,1308,1,1,44.0,100.0,44.0,44.0,44.0,0.0,100.0,100.0,100.0,0.0,110091.74311926606,1529.0519877675845,1308.0,0.0,1308.0,1308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,764.5259938837921,764.5259938837921,44.0,100.0,62.66666666666667,32.331615074619044,1045.3333333333337,0,0,0,0,0,0,0,0,1.0,94.0,44.0,100.0,0,0,0,0,0,0,1,44,1,100,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
2331409,172.31.69.25-18.219.193.20-80-40766-6,172.31.69.25,80,18.219.193.20,40766,6,16/02/2018 11:18:52 PM,4242489,4,4,935.0,353.0,935.0,0.0,233.75,467.50000000000006,353.0,0.0,88.25,176.5,303.5953658335944,1.885685502072015,606069.8571428572,1561616.5602326356,4146693.0,5.0,95789.0,31929.666666666664,50248.26548581885,89852.0,29.0,4236547.0,1412182.3333333335,2368576.646425936,4146693.0,274.0,0,0,0,0,136,136,0.9428427510360076,0.9428427510360076,0.0,935.0,143.11111111111111,319.0820601524177,101813.36111111114,0,0,0,0,1,0,0,0,1.0,161.0,233.75,88.25,0,0,0,0,0,0,4,935,4,353,-1,211,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
119223,192.168.56.1-97.74.104.201-37503-80-6,192.168.56.1,37503,97.74.104.201,80,6,12/06/2010 08:06:08 PM,38345319,6,9,327.0,508.0,179.0,0.0,54.5,64.35137916159995,508.0,0.0,56.44444444444444,169.33333333333334,21.775800065713373,0.3911820371086233,2738951.3571428573,4302556.640723685,10058616.0,3.0,36564408.0,7312881.6,4333612.461681685,10058624.0,21360.0,38345319.0,4793164.875,4809021.546700607,10058623.0,23.0,0,0,0,0,192,304,0.1564728148434493,0.234709222265174,0.0,508.0,52.18750000000001,129.87543711828906,16867.629166666666,0,1,0,0,0,0,0,0,1.0,55.66666666666666,54.5,56.44444444444444,0,0,0,0,0,0,6,327,9,508,-1,243,5,0,5392.75,10773.500216580804,21553.0,3.0,9135748.25,1699322.090065599,10058616.0,6588737.0,ddos
2225613,172.31.69.25-18.219.193.20-80-49906-6,172.31.69.25,80,18.219.193.20,49906,6,16/02/2018 11:18:06 PM,4535019,4,5,935.0,718.0,935.0,0.0,233.75,467.50000000000006,359.0,0.0,143.6,196.63239814435465,364.4968190871968,1.9845561837778407,566877.3749999999,1489563.5636098185,4248252.0,3.0,286764.0,95588.0,131947.91609191865,246137.0,28.0,4494383.0,1123595.75,2085735.610544216,4248252.0,852.0,0,0,0,0,136,168,0.8820249705679293,1.1025312132099117,0.0,935.0,165.3,308.8951817904147,95416.23333333334,0,0,0,0,1,0,0,0,1.0,183.66666666666663,233.75,143.6,0,0,0,0,0,0,4,935,5,718,-1,211,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
300602,172.31.69.25-18.216.24.42-80-57941-6,18.216.24.42,57941,172.31.69.25,80,6,20/02/2018 10:29:23,5233870,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382126419,5233870.0,0.0,5233870.0,5233870.0,5233870.0,5233870.0,0.0,5233870.0,5233870.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.382126419,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,2049,-1,0,20,0.0,0.0,0.0,0.0,5233870.0,0.0,5233870.0,5233870.0,ddos
4156577,172.31.0.2-172.31.66.75-53-51315-17,172.31.66.75,51315,172.31.0.2,53,17,20/02/2018 11:15:18,363,1,1,36.0,52.0,36.0,36.0,36.0,0.0,52.0,52.0,52.0,0.0,242424.2424242425,5509.641873278237,363.0,0.0,363.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,2754.8209366391197,2754.8209366391197,36.0,52.0,41.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,62.0,36.0,52.0,0,0,0,0,0,0,1,36,1,52,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
757986,172.31.69.28-18.216.200.189-80-62474-6,18.216.200.189,62474,172.31.69.28,80,6,22/02/2018 12:06:49 AM,2401,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.9862557267805,2401.0,0.0,2401.0,2401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,416.4931278633903,416.4931278633903,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
40145,178.255.83.1-192.168.10.51-80-50523-6,192.168.10.51,50523,178.255.83.1,80,6,03/07/2017 06:31:10 PM,47616,2,5,438.0,858.0,438.0,0.0,219.0,309.7127701597078,858.0,0.0,171.6,383.70926493896377,27217.74193548387,147.00940860215053,7936.0,11880.937286258186,23366.0,3.0,60.0,60.0,0.0,60.0,60.0,47616.0,11904.0,13192.571773539836,23366.0,3.0,0,0,0,0,64,176,42.002688172043015,105.00672043010752,0.0,858.0,162.0,320.28023443763834,102579.42857142857,0,1,0,0,0,0,0,0,2.0,185.1428571428572,219.0,171.6,0,0,0,0,0,0,2,438,5,858,-1,31,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
139540,172.31.69.25-18.219.193.20-80-49932-6,18.219.193.20,49932,172.31.69.25,80,6,16/02/2018 11:15:35 PM,14134,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.5027593038064,14134.0,0.0,14134.0,14134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,70.7513796519032,70.7513796519032,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,225,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
