,Label
0,0
1,0
2,0
3,1
4,1
5,0
6,0
7,0
8,0
9,1
10,0
11,1
12,1
13,1
14,1
15,0
16,1
17,0
18,1
19,0
20,1
21,0
22,0
23,0
24,1
25,1
26,1
27,0
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,1
36,1
37,0
38,1
39,1
40,0
41,1
42,0
43,1
44,0
45,0
46,1
47,1
48,0
49,0
50,0
51,0
52,0
53,1
54,1
55,1
56,0
57,1
58,1
59,1
60,1
61,1
62,1
63,0
64,1
65,0
66,1
67,1
68,1
69,0
70,1
71,0
72,0
73,1
74,1
75,1
76,1
77,1
78,0
79,1
80,0
81,1
82,0
83,0
84,1
85,1
86,0
87,0
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,0
96,0
97,0
98,0
99,1
100,1
101,1
102,1
103,1
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,1
114,1
115,1
116,1
117,1
118,1
119,0
120,0
121,0
122,0
123,0
124,1
125,0
126,1
127,1
128,1
129,0
130,0
131,1
132,0
133,0
134,1
135,1
136,0
137,1
138,1
139,0
140,1
141,0
142,0
143,1
144,0
145,0
146,0
147,0
148,1
149,0
150,0
151,1
152,0
153,1
154,0
155,0
156,0
157,0
158,1
159,1
160,1
161,0
162,1
163,1
164,0
165,1
166,1
167,0
168,0
169,0
170,0
171,0
172,1
173,1
174,1
175,0
176,1
177,1
178,1
179,0
180,1
181,0
182,0
183,0
184,1
185,0
186,0
187,0
188,0
189,1
190,1
191,0
192,1
193,0
194,0
195,1
196,0
197,0
198,1
199,0
